"TOA5","CR3000_Estacao","CR3000","4133","CR3000.Std.10","CPU:BETANIA_sem sonico.CR3","44239","Baixa1"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","NRLite_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCorr_Avg","CG3DnCorr_Avg","CNR1TC_Avg","CMA11Up_Avg","CMA11Dn_Avg","LI190S_Avg","VW_Avg","HFP01_Avg","STP01_50cm_Avg","STP01_20cm_Avg","STP01_10cm_Avg","STP01_5cm_Avg","STP01_2cm_Avg","CS106_Avg","HMP45C_Temp_Avg","HMP45C_RH_Avg","WindSpeed","WindDirection","TB4_Tot"
"TS","RN","","","W/m2","W/m2","W/m2","W/m2","W/m2","deg_C","W/m2","W/m2","umol/mol","%","W/m2","deg_C","deg_C","deg_C","deg_C","deg_C","hPa","dec_C","%","m/s","Deg","mm"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc:Averaged_Value","WVc:Averaged_Value","Tot"
"2014-02-05 09:40:00",118726,13.23,28.78,233.1908,359.7406,60.10703,1249.177,1290.342,115.3246,363.9763,65.63671,448.9503,0.2546729,"NAN",29.45563,28.85126,28.97074,29.36523,29.92229,1009.477,27.5499,79.00884,0.7635838,103.2079,0
"2014-02-05 09:50:00",118727,13.24,29.03,218.5598,342.636,56.87075,1259.051,1300.909,116.1448,346.5667,62.29135,430.326,0.2546285,"NAN",29.45018,28.87249,29.0521,29.47018,29.96688,1009.529,27.53578,78.62649,0.8266301,113.4006,0
"2014-02-05 10:00:00",118728,13.26,29.22,232.3794,362.461,60.37631,1254.401,1297.837,115.8669,367.0017,66.10144,454.57,0.2545368,"NAN",29.44703,28.89764,29.13286,29.54911,30.02515,1009.533,27.47556,78.77893,0.9149933,137.2815,0
"2014-02-05 10:10:00",118729,13.26,29.42,271.9969,421.2524,70.97488,1215.033,1262.521,112.9928,427.9129,77.30005,523.8652,0.2544852,"NAN",29.44409,28.93083,29.20468,29.63822,30.16299,1009.495,27.54429,79.30687,0.76979,145.1101,0
"2014-02-05 10:20:00",118730,13.24,29.76,375.7408,561.4773,96.21353,1186.398,1240.927,111.0774,578.0743,104.9885,695.5612,0.2543516,"NAN",29.4402,28.95832,29.27494,29.75141,30.39908,1009.43,27.84973,79.51479,0.9017633,138.0856,0
"2014-02-05 10:30:00",118731,13.24,30.31,384.5726,567.1006,95.55107,951.3554,1008.332,91.65308,579.6904,104.0888,694.4636,0.2541897,"NAN",29.43745,28.99206,29.36686,29.93317,30.82275,1009.248,28.30421,77.96044,0.7906972,159.2836,0
"2014-02-05 10:40:00",118732,13.26,31.15,752.7231,1043.007,182.9751,1173.18,1249.453,110.6604,1090.41,202.1525,1262.938,0.2540236,"NAN",29.43359,29.03393,29.47306,30.17662,31.41867,1009.07,29.1052,73.79202,0.8081732,121.4729,0
"2014-02-05 10:50:00",118733,13.24,32.34,654.6443,916.6426,154.4582,831.4116,912.1563,82.40081,955.0269,174.1455,1119.086,0.2537258,"NAN",29.43247,29.07638,29.62515,30.60456,32.38245,1008.918,29.60198,66.03658,1.001887,130.1384,0
