"TOA5","CR3000_Estacao","CR3000","4133","CR3000.Std.10","CPU:BETANIA_sem sonico.CR3","44239","Baixa1"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","NRLite_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCorr_Avg","CG3DnCorr_Avg","CNR1TC_Avg","CMA11Up_Avg","CMA11Dn_Avg","LI190S_Avg","VW_Avg","HFP01_Avg","STP01_50cm_Avg","STP01_20cm_Avg","STP01_10cm_Avg","STP01_5cm_Avg","STP01_2cm_Avg","CS106_Avg","HMP45C_Temp_Avg","HMP45C_RH_Avg","WindSpeed","WindDirection","TB4_Tot"
"TS","RN","","","W/m2","W/m2","W/m2","W/m2","W/m2","deg_C","W/m2","W/m2","umol/mol","%","W/m2","deg_C","deg_C","deg_C","deg_C","deg_C","hPa","dec_C","%","m/s","Deg","mm"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc:Averaged_Value","WVc:Averaged_Value","Tot"
"2015-06-26 00:00:00",191532,12.27,23.79,-33.09534,0.3052327,3.199017,835.3135,875.0463,79.73655,0,1.228135,0.002101097,0.2429539,121.5335,28.30843,28.17085,27.65023,27.21924,26.75784,1011.916,25.1374,81.80489,0,0,0
"2015-06-26 00:10:00",191533,12.27,23.73,-31.86162,0.01107065,2.432382,834.5219,873.822,79.63266,0,0.9144342,0.007003659,0.2429341,120.0137,28.30906,28.14291,27.61337,27.18488,26.71749,1011.826,24.9852,82.59294,0,0,0
"2015-06-26 00:20:00",191534,12.27,23.66,-33.50468,0,2.407468,833.3892,872.4395,79.45708,0,0.8797194,0,0.2429011,110.2517,28.31018,28.11522,27.57949,27.14268,26.67342,1011.732,24.8207,84.02362,0,0,0
"2015-06-26 00:30:00",191535,12.27,23.58,-32.2637,0.002767695,2.47905,832.2996,871.2056,79.33025,0,0.8826187,0.004902583,0.2428716,105.287,28.31098,28.0893,27.54693,27.10679,26.64345,1011.61,24.68828,85.71687,0,0,0
"2015-06-26 00:40:00",191536,12.27,23.5,-32.90419,0,2.295962,831.6106,870.6042,79.2037,0,0.8485385,0.004202168,0.2428406,97.02294,28.3103,28.06344,27.50997,27.07242,26.61828,1011.495,24.537,87.82846,0,0,0
"2015-06-26 00:50:00",191537,12.26,23.42,-30.856,0.04507334,2.440683,832.0371,870.1809,79.11869,0,0.8691136,0.008404392,0.2428311,89.69313,28.30914,28.03359,27.47406,27.03756,26.5741,1011.44,24.50032,88.92767,0,0,0
"2015-06-26 01:00:00",191538,12.25,23.36,-31.0926,0.0470501,2.446207,831.9338,869.6434,79.05879,0,0.9333928,0.0182094,0.242793,82.43259,28.31001,28.00716,27.4437,27.00183,26.53782,1011.362,24.46484,89.48024,0,0,0
"2015-06-26 01:10:00",191539,12.24,23.31,-31.26593,0.04705036,2.362394,832.3815,869.2872,79.00103,0,0.8681476,0.006303308,0.2427807,77.15067,28.30988,27.98258,27.40977,26.96764,26.50844,1011.339,24.45587,90.24918,0,0,0
