"TOA5","CR3000_Estacao","CR3000","4133","CR3000.Std.10","CPU:BETANIA_sem sonico.CR3","44239","Baixa2"
"TIMESTAMP","RECORD","HMP45C_Temp_Max","HMP45C_Temp_TMx","HMP45C_Temp_Min","HMP45C_Temp_TMn","HMP45C_RH_Max","HMP45C_RH_TMx","HMP45C_RH_Min","HMP45C_RH_TMn","RM05103_Veloc_Max","RM05103_Veloc_TMx","TB4_Tot"
"TS","RN","dec_C","dec_C","dec_C","dec_C","%","%","%","%","m/s","m/s","mm"
"","","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Tot"
"2015-06-27 00:00:00",1330,33.15725,"2015-06-26 13:43:59",23.20076,"2015-06-26 06:10:14",95.52229,"2015-06-26 06:46:30",43.51957,"2015-06-26 11:58:44",5.782,"2015-06-26 15:42:29",0
"2015-06-28 00:00:00",1331,29.27441,"2015-06-27 13:27:16",23.70253,"2015-06-27 06:04:59",93.69507,"2015-06-27 06:44:59",63.33535,"2015-06-27 12:40:43",5.978,"2015-06-27 08:28:17",7
"2015-06-29 00:00:00",1332,32.25079,"2015-06-28 14:08:24",23.50252,"2015-06-28 05:56:33",95.6976,"2015-06-28 06:23:26",50.14769,"2015-06-28 14:09:58",5.194,"2015-06-28 14:58:53",0
"2015-06-30 00:00:00",1333,32.38489,"2015-06-29 12:26:34",23.68902,"2015-06-29 05:57:10",95.32816,"2015-06-29 06:29:32",46.09716,"2015-06-29 14:28:28",5.978,"2015-06-29 12:01:34",0
"2015-07-01 00:00:00",1334,32.5587,"2015-06-30 13:00:14",23.95798,"2015-06-30 06:33:53",92.4297,"2015-06-30 07:08:37",44.99909,"2015-06-30 15:35:17",6.958,"2015-06-30 14:02:42",0
"2015-07-02 00:00:00",1335,33.28474,"2015-07-01 13:40:01",23.96161,"2015-07-01 05:45:04",91.98173,"2015-07-01 05:51:24",42.03001,"2015-07-01 13:35:27",5.39,"2015-07-01 14:07:07",0
"2015-07-03 00:00:00",1336,33.59063,"2015-07-02 12:52:30",23.66682,"2015-07-02 05:32:55",92.51376,"2015-07-02 05:40:28",33.54378,"2015-07-02 13:36:55",4.41,"2015-07-02 16:03:48",0
"2015-07-04 00:00:00",1337,33.31358,"2015-07-03 13:32:43",24.45374,"2015-07-03 06:13:01",94.44324,"2015-07-03 20:08:50",45.42001,"2015-07-03 13:32:32",6.272,"2015-07-03 12:05:19",5.8
"2015-07-05 00:00:00",1338,32.62014,"2015-07-04 14:02:30",23.61987,"2015-07-04 05:46:11",95.07072,"2015-07-04 06:06:28",48.00044,"2015-07-04 15:05:12",7.644,"2015-07-04 14:20:37",0
"2015-07-06 00:00:00",1339,31.74976,"2015-07-05 14:59:10",25.78123,"2015-07-05 03:50:43",87.38303,"2015-07-05 12:11:32",53.50593,"2015-07-05 14:59:34",4.606,"2015-07-05 11:48:00",1.4
"2015-07-07 00:00:00",1340,32.19889,"2015-07-06 14:53:02",23.82308,"2015-07-06 20:04:05",93.11546,"2015-07-06 22:44:38",51.30114,"2015-07-06 14:52:44",6.468,"2015-07-06 16:27:09",0.8
"2015-07-08 00:00:00",1341,31.19815,"2015-07-07 14:18:01",23.36942,"2015-07-07 08:25:30",94.97678,"2015-07-07 05:06:56",51.66686,"2015-07-07 14:57:52",5.194,"2015-07-07 15:30:44",1.6
"2015-07-09 00:00:00",1342,31.07928,"2015-07-08 13:53:23",23.71364,"2015-07-08 21:30:51",95.30972,"2015-07-08 22:15:48",56.84388,"2015-07-08 13:56:22",8.134,"2015-07-08 20:46:35",5.8
"2015-07-10 00:00:00",1343,32.53099,"2015-07-09 14:13:24",23.57966,"2015-07-09 04:29:44",95.91908,"2015-07-09 06:46:14",45.46566,"2015-07-09 13:41:55",5.782,"2015-07-09 13:44:07",0.2
"2015-07-11 00:00:00",1344,33.14252,"2015-07-10 12:34:52",24.80171,"2015-07-10 05:47:22",77.62569,"2015-07-10 05:44:46",48.09415,"2015-07-10 15:25:50",6.37,"2015-07-10 10:21:39",0
"2015-07-12 00:00:00",1345,33.08549,"2015-07-11 11:59:33",24.13208,"2015-07-11 06:15:32",78.84103,"2015-07-11 23:59:47",43.22676,"2015-07-11 11:48:26",5.586,"2015-07-11 09:23:57",0
"2015-07-13 00:00:00",1346,33.74368,"2015-07-12 12:57:53",24.04533,"2015-07-12 05:19:37",90.79778,"2015-07-12 04:09:36",36.72064,"2015-07-12 12:58:51",6.468,"2015-07-12 10:53:44",0
"2015-07-14 00:00:00",1347,33.78006,"2015-07-13 13:20:24",23.46009,"2015-07-13 05:57:27",90.91633,"2015-07-13 06:18:14",41.99492,"2015-07-13 13:20:54",5.586,"2015-07-13 10:54:55",0
"2015-07-15 00:00:00",1348,33.53976,"2015-07-14 13:33:18",23.42186,"2015-07-14 23:58:19",92.90723,"2015-07-14 23:59:55",42.02776,"2015-07-14 13:27:43",7.644,"2015-07-14 17:09:36",1.8
"2015-07-16 00:00:00",1349,33.45704,"2015-07-15 14:40:57",22.17607,"2015-07-15 05:58:02",95.95407,"2015-07-15 07:14:34",44.4314,"2015-07-15 14:44:50",5.488,"2015-07-15 13:18:13",0
"2015-07-17 00:00:00",1350,31.75731,"2015-07-16 10:59:18",24.79786,"2015-07-16 06:01:42",92.92171,"2015-07-16 05:05:48",49.55842,"2015-07-16 10:45:16",4.802,"2015-07-16 10:39:26",0
"2015-07-18 00:00:00",1351,33.55621,"2015-07-17 14:43:41",24.04492,"2015-07-17 06:27:44",93.17238,"2015-07-17 03:57:15",37.99987,"2015-07-17 14:10:52",5.194,"2015-07-17 16:10:39",0
"2015-07-19 00:00:00",1352,33.6948,"2015-07-18 13:20:15",23.86869,"2015-07-18 06:26:50",94.57983,"2015-07-18 05:38:52",38.8941,"2015-07-18 14:28:57",5.39,"2015-07-18 12:08:26",0
"2015-07-20 00:00:00",1353,33.79279,"2015-07-19 14:32:10",23.78332,"2015-07-19 06:17:43",92.76958,"2015-07-19 06:46:54",41.40463,"2015-07-19 13:47:52",4.9,"2015-07-19 12:45:17",0
"2015-07-21 00:00:00",1354,34.25162,"2015-07-20 14:16:54",23.94836,"2015-07-20 06:10:54",86.19604,"2015-07-20 06:03:40",38.14999,"2015-07-20 13:53:53",5.39,"2015-07-20 12:17:47",0
"2015-07-22 00:00:00",1355,33.69215,"2015-07-21 13:46:54",23.73679,"2015-07-21 06:23:06",90.3847,"2015-07-21 06:45:53",45.88877,"2015-07-21 13:32:37",5.292,"2015-07-21 14:38:37",0
"2015-07-23 00:00:00",1356,31.19848,"2015-07-22 12:22:39",24.01875,"2015-07-22 19:21:24",92.54433,"2015-07-22 19:48:11",57.24426,"2015-07-22 11:14:16",4.704,"2015-07-22 14:00:47",5.4
"2015-07-24 00:00:00",1357,33.55308,"2015-07-23 14:30:02",22.41823,"2015-07-23 04:45:12",96.11031,"2015-07-23 06:44:53",44.756,"2015-07-23 14:31:29",4.704,"2015-07-23 03:47:43",5.4
"2015-07-25 00:00:00",1358,33.58546,"2015-07-24 12:26:25",23.05217,"2015-07-24 05:45:11",94.00912,"2015-07-24 06:51:33",42.57362,"2015-07-24 12:26:41",4.802,"2015-07-24 00:59:28",8.4
"2015-07-26 00:00:00",1359,31.93374,"2015-07-25 09:45:19",23.12582,"2015-07-25 23:05:22",93.17175,"2015-07-25 23:22:32",55.99191,"2015-07-25 09:46:30",5.488,"2015-07-25 14:03:04",7.6
"2015-07-27 00:00:00",1360,32.68471,"2015-07-26 15:07:25",21.74797,"2015-07-26 05:59:29",96.20242,"2015-07-26 06:26:11",46.27588,"2015-07-26 14:47:03",6.076,"2015-07-26 17:36:12",6.4
"2015-07-28 00:00:00",1361,33.09128,"2015-07-27 13:08:43",22.81654,"2015-07-27 04:31:56",96.70875,"2015-07-27 05:08:11",47.52505,"2015-07-27 13:48:19",4.508,"2015-07-27 13:23:44",0.2
"2015-07-29 00:00:00",1362,33.64978,"2015-07-28 14:21:12",24.57922,"2015-07-28 04:00:54",94.3951,"2015-07-28 06:47:32",42.38551,"2015-07-28 15:18:43",6.076,"2015-07-28 11:15:17",0
